OLYMPIC_YEAR,SPORT,GENDER,EVENT,MEDAL,NOC,ATHLETE
2016,Archery,M,Men's Individual,Gold,KOR,KU Bonchan
2016,Archery,M,Men's Individual,Silver,FRA,VALLADONT Jean-Charles
2016,Archery,M,Men's Individual,Bronze,USA,ELLISON Brady
2016,Archery,W,Women's Individual,Gold,KOR,CHANG Hyejin
2016,Archery,W,Women's Individual,Silver,GER,UNRUH Lisa
2016,Archery,W,Women's Individual,Bronze,KOR,KI Bobae
2016,Archery,M,Men's Team,Gold,KOR,Republic of Korea
2016,Archery,M,Men's Team,Silver,USA,United States
2016,Archery,M,Men's Team,Bronze,AUS,Australia
2016,Archery,W,Women's Team,Gold,KOR,Republic of Korea
2016,Archery,W,Women's Team,Silver,RUS,Russian Federation
2016,Archery,W,Women's Team,Bronze,TPE,Taipei (Cn Taipei)
2016,Artistic Gymnastics,M,Men's Individual All-Around,Gold,JPN,UCHIMURA Kohei
2016,Artistic Gymnastics,M,Men's Individual All-Around,Silver,UKR,VERNIAIEV Oleg
2016,Artistic Gymnastics,M,Men's Individual All-Around,Bronze,GBR,WHITLOCK Max
2016,Artistic Gymnastics,M,Men's Floor Exercise,Gold,GBR,WHITLOCK Max
2016,Artistic Gymnastics,M,Men's Floor Exercise,Silver,BRA,HYPOLITO Diego
2016,Artistic Gymnastics,M,Men's Floor Exercise,Bronze,BRA,MARIANO Arthur
2016,Artistic Gymnastics,M,Men's Pommel Horse,Gold,GBR,WHITLOCK Max
2016,Artistic Gymnastics,M,Men's Pommel Horse,Silver,GBR,SMITH Louis
2016,Artistic Gymnastics,M,Men's Pommel Horse,Bronze,USA,NADDOUR Alexander
2016,Artistic Gymnastics,M,Men's Rings,Gold,GRE,PETROUNIAS Eleftherios
2016,Artistic Gymnastics,M,Men's Rings,Silver,BRA,ZANETTI Arthur
2016,Artistic Gymnastics,M,Men's Rings,Bronze,RUS,ABLIAZIN Denis
2016,Artistic Gymnastics,M,Men's Vault,Gold,PRK,RI Se Gwang
2016,Artistic Gymnastics,M,Men's Vault,Silver,RUS,ABLIAZIN Denis
2016,Artistic Gymnastics,M,Men's Vault,Bronze,JPN,SHIRAI Kenzo
2016,Artistic Gymnastics,M,Men's Parallel Bars,Gold,UKR,VERNIAIEV Oleg
2016,Artistic Gymnastics,M,Men's Parallel Bars,Silver,USA,LEYVA Danell
2016,Artistic Gymnastics,M,Men's Parallel Bars,Bronze,RUS,BELYAVSKIY David
2016,Artistic Gymnastics,M,Men's Horizontal Bar,Gold,GER,HAMBUECHEN Fabian
2016,Artistic Gymnastics,M,Men's Horizontal Bar,Silver,USA,LEYVA Danell
2016,Artistic Gymnastics,M,Men's Horizontal Bar,Bronze,GBR,WILSON Nile
2016,Artistic Gymnastics,M,Men's Team,Gold,JPN,Japan
2016,Artistic Gymnastics,M,Men's Team,Silver,RUS,Russian Federation
2016,Artistic Gymnastics,M,Men's Team,Bronze,CHN,China
2016,Artistic Gymnastics,W,Women's Individual All-Around,Gold,USA,BILES Simone
2016,Artistic Gymnastics,W,Women's Individual All-Around,Silver,USA,RAISMAN Alexandra
2016,Artistic Gymnastics,W,Women's Individual All-Around,Bronze,RUS,MUSTAFINA Aliya
